País,Desórdenes mentales,EVC
Afghanistan,2.038695,149.0977
Albania,1.185198,176.1417
Algeria,2.660763,66.28795
Angola,2.642624,112.25
Antigua and Barbuda,5.043824,65.96316
Argentina,2.516365,36.5015
Armenia,1.156682,48.21383
Australia,7.83445,17.13244
Austria,5.244191,19.61225
Azerbaijan,2.775996,151.5182
Bahamas,5.295321,60.37416
Bahrain,1.538367,52.58972
Bangladesh,2.525415,119.2007
Barbados,1.42819,58.54344
Belarus,22.98751,88.07849
Belgium,5.171604,21.10632
Belize,3.512575,48.39343
Benin,3.733469,119.0302
Bhutan,1.898088,60.70028
Bolivia (Plurinational State of),6.385289,67.18391
Bosnia and Herzegovina,2.317139,116.4254
Botswana,3.318931,133.3019
Brazil,4.453502,50.39754
Brunei Darussalam,1.633552,87.37305
Bulgaria,1.486608,116.8586
Burkina Faso,3.141342,95.69461
Burundi,2.416013,120.7393
Cabo Verde,4.090605,71.22709
Cambodia,1.455614,141.5909
Cameroon,6.933695,118.869
Canada,11.74611,15.11669
Central African Republic,3.971164,181.2723
Chad,3.680223,115.3579
Chile,1.728995,32.18961
China,2.393152,110.804
Colombia,1.014392,29.57346
Comoros,2.378969,104.8506
Congo,3.46967,120.3977
Costa Rica,3.659662,24.44193
Côte d'Ivoire,6.002524,104.6707
Croatia,5.317479,52.82033
Cuba,4.969126,47.46805
Cyprus,1.448324,20.32629
Czechia,4.015009,30.05773
Democratic People's Republic of Korea,2.2437,162.1435
Democratic Republic of the Congo,2.767018,112.5333
Denmark,10.05123,23.60055
Djibouti,3.381537,117.119
Dominican Republic,2.722145,76.93537
Ecuador,3.040811,32.46478
Egypt,0.2971309,65.24358
El Salvador,12.15684,22.58014
Equatorial Guinea,5.88886,102.2752
Eritrea,3.773749,139.6574
Estonia,13.80572,31.2263
Eswatini,5.389018,146.4841
Ethiopia,2.095892,83.7099
Fiji,0.7373909,96.45348
Finland,11.03014,24.53563
France,5.712871,16.74193
Gabon,3.76202,94.08265
Gambia,3.607472,108.9415
Georgia,2.691207,159.6204
Germany,6.621347,18.75154
Ghana,4.6814,124.0206
Greece,2.515586,35.72407
Grenada,6.281555,73.8444
Guatemala,15.86461,42.00586
Guinea,3.554338,121.1152
Guinea-Bissau,2.792174,121.5978
Guyana,2.671988,149.2567
Haiti,6.447949,162.7395
Honduras,6.409144,91.08777
Hungary,5.104126,50.69285
Iceland,8.265731,18.38803
India,2.74871,64.96967
Indonesia,0.6103088,178.3019
Iran (Islamic Republic of),2.922944,57.21202
Iraq,1.891978,128.436
Ireland,4.587073,19.26678
Israel,2.133435,16.78929
Italy,1.547754,25.15096
Jamaica,0.6385263,70.26075
Japan,0.9430502,23.21162
Jordan,1.788347,62.96121
Kazakhstan,10.60023,124.1849
Kenya,1.799136,92.66402
Kiribati,1.115211,233.2832
Kuwait,1.596837,37.48929
Kyrgyzstan,8.126282,92.5242
Lao People's Democratic Republic,1.666699,152.4986
Latvia,10.82037,99.14342
Lebanon,4.515677,28.54512
Lesotho,6.211607,211.6562
Liberia,2.641409,79.83655
Libya,6.513162,64.09098
Lithuania,9.862259,65.24085
Luxembourg,4.62225,18.65028
Madagascar,1.588542,160.509
Malawi,2.023875,99.80618
Malaysia,1.674096,81.64585
Maldives,0.6216857,52.95224
Mali,2.320061,101.358
Malta,1.807711,24.11721
Mauritania,3.35022,74.40922
Mauritius,4.689798,56.52162
Mexico,3.698613,32.07944
Micronesia (Federated States of),3.184302,181.0391
Mongolia,19.22144,216.2964
Montenegro,2.889174,184.7525
Morocco,1.243345,101.5271
Mozambique,3.720707,199.9666
Myanmar,1.470305,185.2836
Namibia,3.603623,117.6108
Nepal,1.160226,67.31617
Netherlands,3.997707,20.65767
New Zealand,2.413041,22.24027
Nicaragua,6.334062,47.78046
Niger,2.403398,114.199
Nigeria,6.973314,88.68236
North Macedonia,0.8283389,165.5766
Norway,7.223635,18.15659
Oman,0.875372,94.97638
Pakistan,2.108743,116.5186
Panama,1.731445,40.57798
Papua New Guinea,1.615453,118.9026
Paraguay,7.903056,53.26894
Peru,2.900781,22.6004
Philippines,1.35207,104.0829
Poland,10.56148,37.09393
Portugal,1.541894,34.67917
Qatar,1.044444,51.69294
Republic of Korea,1.646478,25.48226
Republic of Moldova,5.483934,100.8291
Romania,2.916521,104.3598
Russian Federation,20.43052,117.2319
Rwanda,2.552074,105.7574
Saint Lucia,5.251482,76.65584
Saint Vincent and the Grenadines,2.31534,73.32357
Samoa,1.803023,118.0164
Sao Tome and Principe,2.534656,107.8735
Saudi Arabia,2.383321,95.9322
Senegal,2.529951,87.44483
Serbia,4.126964,83.30412
Seychelles,1.345814,62.39411
Sierra Leone,4.477256,120.1421
Singapore,0.3729228,18.41148
Slovakia,3.619303,35.89743
Slovenia,14.55754,31.51369
Solomon Islands,1.989432,207.6502
Somalia,2.833553,150.1725
South Africa,3.44952,80.49493
South Sudan,1.58641,78.18162
Spain,1.805544,18.3679
Sri Lanka,1.512172,26.55264
Sudan,3.649382,108.7142
Suriname,4.11185,117.5274
Sweden,6.682489,19.80868
Switzerland,4.111007,14.92295
Syrian Arab Republic,2.28011,79.31361
Tajikistan,2.180617,160.7815
Thailand,1.72574,46.80935
Timor-Leste,0.9490559,139.3643
Togo,4.529659,116.5037
Tonga,1.445854,65.01424
Trinidad and Tobago,2.521143,45.79292
Tunisia,2.122925,68.10309
Turkey,1.340051,49.05703
Turkmenistan,3.475196,125.8864
Uganda,2.755658,99.89327
Ukraine,12.25392,89.52252
United Arab Emirates,5.528774,74.74408
United Kingdom,5.99567,20.17017
United Republic of Tanzania,2.560063,91.34227
United States of America,25.05,22.26644
Uruguay,3.374107,38.74306
Uzbekistan,1.274129,103.4807
Vanuatu,2.084644,190.5339
Venezuela (Bolivarian Republic of),0.9566883,45.06604
Viet Nam,2.13032,155.7448
Yemen,3.125854,127.4924
Zambia,3.093822,156.4988
Zimbabwe,2.928253,93.41647
